panel,method,row_order,row_label,row_type,col_order,col_label,col_type,value,value_label
capacity,CSPPO,0,U_FQ,upstream,0,C0,product_color,0.5222543444213298,Production / capacity x 6
capacity,CSPPO,0,U_FQ,upstream,1,C1,product_color,0.5782644384965514,Production / capacity x 6
capacity,CSPPO,0,U_FQ,upstream,2,C2,product_color,0.6427166219742391,Production / capacity x 6
capacity,CSPPO,0,U_FQ,upstream,3,C3,product_color,0.6784266716770236,Production / capacity x 6
capacity,CSPPO,0,U_FQ,upstream,4,C4,product_color,0.5945782614438864,Production / capacity x 6
capacity,CSPPO,0,U_FQ,upstream,5,C5,product_color,0.5988156976167816,Production / capacity x 6
capacity,CSPPO,1,U_BX,upstream,0,C0,product_color,0.510256789279434,Production / capacity x 6
capacity,CSPPO,1,U_BX,upstream,1,C1,product_color,0.5601398435460012,Production / capacity x 6
capacity,CSPPO,1,U_BX,upstream,2,C2,product_color,0.5789881462252602,Production / capacity x 6
capacity,CSPPO,1,U_BX,upstream,3,C3,product_color,0.6754815106271772,Production / capacity x 6
capacity,CSPPO,1,U_BX,upstream,4,C4,product_color,0.7570308969447096,Production / capacity x 6
capacity,CSPPO,1,U_BX,upstream,5,C5,product_color,0.6287690616609354,Production / capacity x 6
capacity,CSPPO,2,U_TL,upstream,0,C0,product_color,0.6528179305266624,Production / capacity x 6
capacity,CSPPO,2,U_TL,upstream,1,C1,product_color,0.7282270000122582,Production / capacity x 6
capacity,CSPPO,2,U_TL,upstream,2,C2,product_color,0.8034094667839685,Production / capacity x 6
capacity,CSPPO,2,U_TL,upstream,3,C3,product_color,0.8540772870653531,Production / capacity x 6
capacity,CSPPO,2,U_TL,upstream,4,C4,product_color,0.7379148345071526,Production / capacity x 6
capacity,CSPPO,2,U_TL,upstream,5,C5,product_color,0.6436662718192279,Production / capacity x 6
capacity,CSPPO,3,U_WS,upstream,0,C0,product_color,0.6243999408603966,Production / capacity x 6
capacity,CSPPO,3,U_WS,upstream,1,C1,product_color,0.654722594804283,Production / capacity x 6
capacity,CSPPO,3,U_WS,upstream,2,C2,product_color,0.7043962566266921,Production / capacity x 6
capacity,CSPPO,3,U_WS,upstream,3,C3,product_color,0.6163980148327703,Production / capacity x 6
capacity,CSPPO,3,U_WS,upstream,4,C4,product_color,0.6027926392849098,Production / capacity x 6
capacity,CSPPO,3,U_WS,upstream,5,C5,product_color,0.7686871892110476,Production / capacity x 6
capacity,CSPPO,4,M_TJ,midstream,0,C0,product_color,,Production / capacity x 6
capacity,CSPPO,4,M_TJ,midstream,1,C1,product_color,0.304315953194487,Production / capacity x 6
capacity,CSPPO,4,M_TJ,midstream,2,C2,product_color,0.36919824476601837,Production / capacity x 6
capacity,CSPPO,4,M_TJ,midstream,3,C3,product_color,0.3454464083867706,Production / capacity x 6
capacity,CSPPO,4,M_TJ,midstream,4,C4,product_color,0.3754939177626654,Production / capacity x 6
capacity,CSPPO,4,M_TJ,midstream,5,C5,product_color,0.3342256888088016,Production / capacity x 6
capacity,CSPPO,5,M_SH,midstream,0,C0,product_color,0.31507244781820865,Production / capacity x 6
capacity,CSPPO,5,M_SH,midstream,1,C1,product_color,0.31740376733662923,Production / capacity x 6
capacity,CSPPO,5,M_SH,midstream,2,C2,product_color,0.37596009506833983,Production / capacity x 6
capacity,CSPPO,5,M_SH,midstream,3,C3,product_color,0.36113838603458337,Production / capacity x 6
capacity,CSPPO,5,M_SH,midstream,4,C4,product_color,0.3850823183880234,Production / capacity x 6
capacity,CSPPO,5,M_SH,midstream,5,C5,product_color,0.3421607051896464,Production / capacity x 6
capacity,CSPPO,6,M_WS,midstream,0,C0,product_color,0.2991742967815104,Production / capacity x 6
